type,id,category,file,source,score
unit,reaper,deploy_move,Reaper_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Yes09.ogg,205
unit,reaper,deploy_move,Reaper_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Yes10.ogg,205
unit,reaper,deploy_move,Reaper_Yes11.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Yes11.ogg,205
unit,reaper,attack,Reaper_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack00.ogg,205
unit,reaper,attack,Reaper_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack01.ogg,205
unit,reaper,attack,Reaper_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack02.ogg,205
unit,reaper,attack,Reaper_Attack04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack04.ogg,205
unit,reaper,attack,Reaper_Attack05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack05.ogg,205
unit,reaper,attack,Reaper_Attack06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Attack06.ogg,205
unit,reaper,death,Reaper_Death02.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Death02.wav,205
unit,reaper,death,Reaper_Death03.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Death03.wav,205
unit,reaper,death,Reaper_Death04.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Death04.wav,205
unit,reaper,death,Reaper_Death05.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Reaper/Reaper_Death05.wav,205
unit,ghost,deploy_move,Ghost_Yes01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes01.ogg,205
unit,ghost,deploy_move,Ghost_Yes02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes02.ogg,205
unit,ghost,deploy_move,Ghost_Yes03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes03.ogg,205
unit,ghost,deploy_move,Ghost_Yes04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes04.ogg,205
unit,ghost,deploy_move,Ghost_Yes05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes05.ogg,205
unit,ghost,deploy_move,Ghost_Yes06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes06.ogg,205
unit,ghost,deploy_move,Ghost_Yes07.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes07.ogg,205
unit,ghost,deploy_move,Ghost_Yes08.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes08.ogg,205
unit,ghost,deploy_move,Ghost_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes09.ogg,205
unit,ghost,deploy_move,Ghost_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Yes10.ogg,205
unit,ghost,attack,Ghost_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack00.ogg,205
unit,ghost,attack,Ghost_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack01.ogg,205
unit,ghost,attack,Ghost_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack02.ogg,205
unit,ghost,attack,Ghost_Attack03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack03.ogg,205
unit,ghost,attack,Ghost_Attack04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack04.ogg,205
unit,ghost,attack,Ghost_Attack05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack05.ogg,205
unit,ghost,attack,Ghost_Attack06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Attack06.ogg,205
unit,ghost,death,Ghost_Death02.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Death02.wav,205
unit,ghost,death,Ghost_Death03.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Death03.wav,205
unit,ghost,death,Ghost_Death04.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Death04.wav,205
unit,ghost,death,Ghost_Death05.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Ghost/Ghost_Death05.wav,205
unit,hellion,deploy_move,Hellion_Yes02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes02.ogg,205
unit,hellion,deploy_move,Hellion_Yes03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes03.ogg,205
unit,hellion,deploy_move,Hellion_Yes04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes04.ogg,205
unit,hellion,deploy_move,Hellion_Yes05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes05.ogg,205
unit,hellion,deploy_move,Hellion_Yes06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes06.ogg,205
unit,hellion,deploy_move,Hellion_Yes07.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes07.ogg,205
unit,hellion,deploy_move,Hellion_Yes08.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes08.ogg,205
unit,hellion,deploy_move,Hellion_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes09.ogg,205
unit,hellion,deploy_move,Hellion_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes10.ogg,205
unit,hellion,deploy_move,Hellion_Yes11.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes11.ogg,205
unit,hellion,attack,Hellion_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack00.ogg,205
