asset_path,sha256,unit_audio_id,runtime_roles
audio/classic/units/goliath/death/TGoDth00__7b21a9c75f.wav,7b21a9c75fd86827f2f22b7eaa7e6dd6ccd2ad1abeda5941aaca58281a8b9bac,goliath,death
audio/classic/units/goliath/move/TGoRdy00__f4f8008c24.wav,f4f8008c24ca30d5d0c290ee47227cb5f7ee702f69e334ee093db9e6b1a2b8eb,goliath,move
audio/classic/units/goliath/move/TGoWht00__e86a525394.wav,e86a5253940dff040857e02b63f8d5010f872984277ebcaba1ae84fb909cc23f,goliath,move
audio/classic/units/goliath/move/TGoWht01__79abc573bf.wav,79abc573bfa0dd358d4d85eb14612920e1508ea2a6fbcb947b8676457a03792c,goliath,move
audio/classic/units/goliath/move/TGoWht02__b8450d69ef.wav,b8450d69ef96d588d97a92c2324b768b16ed4a319974bd9f28ddfec35361e200,goliath,move
audio/classic/units/goliath/move/TGoWht03__7fb95ecf4b.wav,7fb95ecf4bb7eb4d596ad5f88a0bd5dcc22021aa0cadeb155ef5765ac9f9fa47,goliath,move
audio/classic/units/goliath/move/TGoYes00__804d9b9a5a.wav,804d9b9a5ad2f56322d1731f9ab092da7509e3338f7cb2cd90897ed422740c73,goliath,move
audio/classic/units/goliath/move/TGoYes01__5b274f891f.wav,5b274f891f2bed50cbec4df7babcd29075e83a65485bc849cfeba268717d0ae3,goliath,move
audio/classic/units/goliath/move/TGoYes02__08ea5cd4e1.wav,08ea5cd4e168591596dde9466c3efe7ace9539ed8f2bfe786dc8c687c96bb367,goliath,move
audio/classic/units/goliath/move/TGoYes03__653bd7ccca.wav,653bd7ccca26bfc54e6b09a0478ed7098fb686e3152b3044654f3e7a80c31fa7,goliath,move
audio/classic/units/hellion/attack/alias_vulture_TVuWht00__2a8d46b65c.wav,2a8d46b65c061b055d470902530ae7d8799088778aa5d8d388a553fd93a26033,hellion,attack
audio/classic/units/hellion/attack/alias_vulture_tvuwht02__d86d65c703.wav,d86d65c703756ccaea844e9d99d9ce5d7420ee1fe8f2af1536ea3d7831127d34,hellion,attack
audio/classic/units/hellion/attack/alias_vulture_tvuyes00__77980ed04f.wav,77980ed04f16b6edda1afea9f9b305c9fb0912cad1a7a6955121fd2c25bf1979,hellion,attack
