asset_path,roles,source,sha256
audio/units/brood_lord/canonical/60b90f31f1d21acb__BroodLord_What2.ogg,move,SC2 game-data canonical recovery,60b90f31f1d21acb4116e1726792736201308abcc1ffdb455348ded0d5c39763
audio/units/brood_lord/canonical/96962bd66b341e7d__BroodLord_What3.ogg,move,SC2 game-data canonical recovery,96962bd66b341e7d101ca9371f3bb26ae80f2e4c92616afc0a9eeb03710584cf
audio/units/brood_lord/canonical/bff2459f7e12dabe__BroodLord_What4.ogg,move,SC2 game-data canonical recovery,bff2459f7e12dabe7c1c7a0675dbf819c655f1210016e6323b9ef48c1b609635
audio/units/brood_lord/canonical/b0e61907bd0b4b65__BroodLord_What5.ogg,move,SC2 game-data canonical recovery,b0e61907bd0b4b658e3321814704f5690c96f0b0079242acb1db3b405744cd20
audio/units/brood_lord/canonical/50bcf90af03402dd__BroodLord_What6.ogg,move,SC2 game-data canonical recovery,50bcf90af03402dda37bd7b8c3d031acc229039d8bf6885539cb9721bf0a34be
audio/units/brood_lord/canonical/8dae1296981923a9__BroodLord_What7.ogg,move,SC2 game-data canonical recovery,8dae1296981923a9e72d902ff4823d204c9b6de748a0aac16af9fc390495741e
audio/units/brood_lord/canonical/11b75880675a574f__BroodLord_What8.ogg,move,SC2 game-data canonical recovery,11b75880675a574fefbcfacb418a798f56760787a80bb737ecbec0e914bb5b43
audio/units/brood_lord/canonical/04e4367ed0e4f948__BroodLord_What9.ogg,move,SC2 game-data canonical recovery,04e4367ed0e4f948fcbf043aa11693f1ea12ae85dcadb1784ffc5fc3b6e10ced
audio/units/carrier/canonical/8821dab1b72bc904__Carrier_Ready00.ogg,move,SC2 game-data canonical recovery,8821dab1b72bc904da84a2237af80d36d64da301e2fccdad509c5bc0fe92f68d
audio/units/carrier/canonical/6d88de936c87a7e1__Carrier_What00.ogg,move,SC2 game-data canonical recovery,6d88de936c87a7e1ea1bd799adfbaed2eb15c7004e90011b9f72a6ac34b7a0c2
audio/units/carrier/canonical/dc660045ac970787__Carrier_What01.ogg,move,SC2 game-data canonical recovery,dc660045ac970787e631849451c645507476a52104f047cfa36ef0d3432e2091
audio/units/carrier/canonical/dd0ab0471a60e6f8__Carrier_What02.ogg,move,SC2 game-data canonical recovery,dd0ab0471a60e6f85e7d09cd728a506d03c06de8c5ef7c37ece6981e783691a2
audio/units/carrier/canonical/c2c5fcbbea4b952d__Carrier_What03.ogg,move,SC2 game-data canonical recovery,c2c5fcbbea4b952d5f1f6d0d70ca3d5598567cad2001b5fdf9e25309505606c4
audio/units/corruptor/canonical/cacc0cbadaeaaf6a__Corruptor_Death0.wav,death,SC2 game-data canonical recovery,cacc0cbadaeaaf6a36dc9a3d41bc79f89ed4ab0b692aca86186884628e6c2f76
audio/units/corruptor/canonical/bb8505158f850cfd__Corruptor_Death1.wav,death,SC2 game-data canonical recovery,bb8505158f850cfd29386f9e378179668fbf7ed2bc91426ccb3444e76b386cac
audio/units/corruptor/canonical/5f6722d83a97789f__Corruptor_Ready0.ogg,move,SC2 game-data canonical recovery,5f6722d83a97789f7e2be0cf23b93e7431ef4e050a5c652f2baf97820c4c349c
audio/units/corruptor/canonical/3b6e6483f96a8b2c__Corruptor_Ready1.ogg,move,SC2 game-data canonical recovery,3b6e6483f96a8b2c72451e4e2ee87d5016fc611a76ec6feb49c3e57e53fc6b74
audio/units/corruptor/canonical/eb4848cdb864921a__Corruptor_Ready2.ogg,move,SC2 game-data canonical recovery,eb4848cdb864921a8b3c09d9cf36acfa43582f4cfec22efd735ff0edfd0e48a4
audio/units/corruptor/canonical/73c4f63526f3d918__Corruptor_Ready3.ogg,move,SC2 game-data canonical recovery,73c4f63526f3d918df19aa4a131fe79a864c79e39669bf679af187c485f097e2
audio/units/corruptor/canonical/19c766a207b6c042__Corruptor_What0.ogg,move,SC2 game-data canonical recovery,19c766a207b6c042e58439cc61bd13a76c1afd7a6143c628f3d87daa588329fa
audio/units/corruptor/canonical/c93ccf8b1261cca6__Corruptor_What1.ogg,move,SC2 game-data canonical recovery,c93ccf8b1261cca675ab2c350ff668586da7f62327559dbf806929fff68fa090
audio/units/corruptor/canonical/89742ce6e06a0e72__Corruptor_What2.ogg,move,SC2 game-data canonical recovery,89742ce6e06a0e72990ded479b96b54bbb1c83f4a3c30711b234e53172ee5f38
audio/units/corruptor/canonical/65649f5bd4260dec__Corruptor_What3.ogg,move,SC2 game-data canonical recovery,65649f5bd4260dec23b6b608d797fe3705839cfda0515446aea8f7b5f62910b0
audio/units/corruptor/canonical/223c90bb2fe6b7bb__Corruptor_What4.ogg,move,SC2 game-data canonical recovery,223c90bb2fe6b7bbe0fffcd77fa0698fc0c99a8113e0b1503feb90690b6ff3a4
audio/units/corruptor/canonical/de6d7a0bdc918866__Corruptor_What5.ogg,move,SC2 game-data canonical recovery,de6d7a0bdc9188664caf5a12e9ef3fde39d300729020837d09a038ebfe082759
audio/units/corruptor/canonical/1618a8d95e2618e9__Corruptor_What6.ogg,move,SC2 game-data canonical recovery,1618a8d95e2618e90b7d5605eee471046306babf829b5e5237ff62e100744362
audio/units/corruptor/canonical/01dc606c8bf1711c__Corruptor_What7.ogg,move,SC2 game-data canonical recovery,01dc606c8bf1711c8ac0d7446de5ebf5b7bc6975a426d78dfda616531d1dda5a
audio/units/corruptor/canonical/94348ff4b87ce0ac__Corruptor_What8.ogg,move,SC2 game-data canonical recovery,94348ff4b87ce0ace04452fc2aca14fdb580f9993ea6748d8a524b47f2c219af
audio/units/corruptor/canonical/491b56a1195286ab__Corruptor_What9.ogg,move,SC2 game-data canonical recovery,491b56a1195286aba07aa2ca5f6a17201ed3e0ee4e89d741558bec3bc95f1926
